rssi
[0.08352222]
[0.08800556]
[0.07453889]
[0.08920556]
[0.08896667]
[0.10746111]
[0.10672778]
[0.07309444]
[0.0858]
[0.07812778]
[0.07360556]
[0.09379444]
[0.09278333]
[0.08745]
[0.08113333]
[0.08277778]
[0.08457778]
[0.10717222]
[0.08815556]
[0.07106667]
[0.08777222]
[0.0869]
[0.08574444]
[0.09037778]
[0.07903889]
[0.09377778]
[0.08111667]
[0.10922222]
[0.08589444]
[0.10168333]
[0.08717778]
[0.06827778]
[0.10171667]
[0.08996667]
[0.08697778]
[0.09637778]
[0.08107222]
[0.09617222]
[0.08373333]
[0.09092778]
[0.09339444]
[0.0933]
[0.08933333]
[0.09310556]
[0.08670556]
[0.08722222]
[0.08372778]
[0.08013889]
[0.08963889]
[0.08596111]
[0.08727778]
[0.08817778]
[0.0807]
[0.08512222]
[0.09037778]
[0.08299444]
[0.08196111]
[0.07548889]
[0.08694444]
[0.08516111]
[0.08798889]
[0.07291111]
[0.09711667]
[0.08141667]
[0.08476667]
[0.08394444]
[0.10332222]
[0.08281667]
[0.09085]
[0.10183889]
[0.09606667]
[0.09137222]
[0.09237778]
[0.08360556]
[0.09366667]
[0.08694444]
[0.08943333]
[0.09479444]
[0.10126111]
[0.09813333]
[0.09105]
[0.09468889]
[0.09912778]
[0.08412778]
[0.07932778]
[0.07943333]
[0.09138889]
[0.10017222]
[0.07621111]
[0.10049444]
[0.0723]
[0.08381667]
[0.09406667]
[0.09692222]
[0.09351111]
[0.10675]
[0.08724444]
[0.08283889]
[0.10138889]
[0.09101111]
