throughput
[0.076944]
[0.070496]
[0.047184]
[0.095712]
[0.137248]
[0.114144]
[0.095408]
[0.14848]
[0.101056]
[0.027104]
[0.053248]
[0.089008]
[0.084816]
[0.10752]
[0.05408]
[0.096256]
[0.073088]
[0.090128]
[0.107808]
[0.088064]
[0.096544]
[0.050096]
[0.074096]
[0.082944]
[0.072512]
[0.083968]
[0.0696]
[0.090112]
[0.0704]
[0.10576]
[0.165888]
[0.043008]
[0.139264]
[0.07144]
[0.096256]
[0.151792]
[0.126976]
[0.100352]
[0.09688]
[0.104736]
[0.136192]
[0.136192]
[0.090768]
[0.136192]
[0.093632]
[0.073424]
[0.089344]
[0.080368]
[0.105296]
[0.083968]
[0.083232]
[0.09504]
[0.088064]
[0.081264]
[0.093472]
[0.08192]
[0.069632]
[0.060224]
[0.045376]
[0.097056]
[0.046288]
[0.072928]
[0.1228]
[0.073536]
[0.076768]
[0.080128]
[0.111616]
[0.100176]
[0.120832]
[0.062736]
[0.104368]
[0.083712]
[0.13312]
[0.09216]
[0.060352]
[0.094208]
[0.13472]
[0.070272]
[0.119328]
[0.061824]
[0.110752]
[0.146848]
[0.1068]
[0.105152]
[0.101008]
[0.137216]
[0.059344]
[0.1416]
[0.062464]
[0.092192]
[0.142336]
[0.049552]
[0.076208]
[0.141072]
[0.051392]
[0.103456]
[0.076416]
[0.150528]
[0.117216]
[0.078512]
