throughput,airtime,rssi,interference,performance_score
0.076944,0.08814857142857145,0.08352222,0.1555,0.40411479142857143
0.070496,0.16581166666666664,0.08800556,0.15336666666666668,0.47767989333333327
0.047184,0.0790971428571429,0.07453889,0.15716333333333332,0.3579833661904762
0.095712,0.177985,0.08920556,0.15142,0.5143225600000001
0.137248,0.19092800000000004,0.08896667,0.15334666666666666,0.5704893366666667
0.114144,0.09680333333333334,0.10746111,0.15011333333333335,0.4685217766666666
0.095408,0.07677142857142859,0.10672778,0.15068000000000004,0.4295872085714286
0.14848,0.11536000000000002,0.07309444,0.16168000000000002,0.49861444
0.101056,0.0958477777777778,0.0858,0.1584,0.44110377777777776
0.027104,0.06277800000000001,0.07812778,0.15545333333333336,0.32346311333333333
0.053248,0.06111999999999998,0.07360556,0.15982000000000005,0.34779356000000006
0.089008,0.1631175,0.09379444,0.15154,0.49745994000000004
0.084816,0.09798666666666668,0.09278333,0.14937333333333333,0.42495932999999997
0.10752,0.11028666666666669,0.08745,0.1625466666666667,0.46780333333333346
0.05408,0.06534666666666666,0.08113333,0.15400999999999998,0.35456999666666666
0.096256,0.12877999999999998,0.08277778,0.15946000000000002,0.46727377999999997
0.073088,0.07601999999999999,0.08457778,0.15567333333333333,0.38935911333333334
0.090128,0.06170285714285712,0.10717222,0.1521,0.41110307714285715
0.107808,0.18776,0.08815556,0.1543466666666667,0.5380702266666666
0.088064,0.13743200000000003,0.07106667,0.1594066666666667,0.4559693366666667
0.096544,0.13365142857142856,0.08777222,0.1532666666666667,0.4712343152380952
0.050096,0.07697,0.0869,0.15634000000000003,0.370306
0.074096,0.09385111111111114,0.08574444,0.1576266666666667,0.41131821777777783
0.082944,0.08626625,0.09037778,0.15732,0.41690803
0.072512,0.09220285714285714,0.07903889,0.15610000000000002,0.39985374714285715
0.083968,0.09213285714285714,0.09377778,0.15627666666666667,0.4261553038095238
0.0696,0.07582000000000001,0.08111667,0.15847333333333335,0.38501000333333335
0.090112,0.06604249999999999,0.10922222,0.15769333333333335,0.4230700533333333
0.0704,0.08045142857142858,0.08589444,0.15494666666666668,0.3916925352380953
0.10576,0.14525500000000002,0.10168333,0.15151333333333336,0.5042116633333334
0.165888,0.104696,0.08717778,0.15938666666666668,0.5171484466666667
0.043008,0.07564000000000001,0.06827778,0.15977000000000002,0.34669578
0.139264,0.08488875,0.10171667,0.1582066666666667,0.4840760866666667
0.07144,0.06016444444444446,0.08996667,0.15511333333333333,0.37668444777777776
0.096256,0.10958125000000002,0.08697778,0.15742,0.45023503000000004
0.151792,0.12691142857142856,0.09637778,0.15554,0.5306212085714286
